CONTAINER                         REPOSITORY                                        TAG                 PLATFORM            IMAGE ID            SIZE                CREATED
cordum-api-gateway-1              ghcr.io/cordum-io/cordum/api-gateway              latest              linux/amd64         024acb6c2ba4        15.5MB              41 seconds ago
cordum-context-engine-1           ghcr.io/cordum-io/cordum/context-engine           latest              linux/amd64         aad47a428cd5        11MB                53 seconds ago
cordum-dashboard-1                ghcr.io/cordum-io/cordum/dashboard                latest              linux/amd64         f69a279fa293        23.4MB              25 hours ago
cordum-demo-quickstart-worker-1   ghcr.io/cordum-io/cordum/demo-quickstart-worker   latest              linux/amd64         3b4dbe6a3ce6        11.8MB              6 days ago
cordum-mock-bank-worker-1         cordum-mock-bank-worker                           latest              linux/amd64         549d1e17a618        10MB                13 days ago
cordum-nats-1                     nats                                              2.10-alpine         linux/amd64         b83efabe3e7d        10.5MB              3 months ago
cordum-redis-1                    redis                                             7-alpine            linux/amd64         7aec734b2bb2        17.3MB              2 weeks ago
cordum-safety-kernel-1            ghcr.io/cordum-io/cordum/safety-kernel            latest              linux/amd64         6785df054f90        12.5MB              45 seconds ago
cordum-scheduler-1                ghcr.io/cordum-io/cordum/scheduler                latest              linux/amd64         9fdebcf637c4        12.9MB              45 seconds ago
cordum-workflow-engine-1          ghcr.io/cordum-io/cordum/workflow-engine          latest              linux/amd64         6a3c29cb903e        12.6MB              46 seconds ago
